customer_id,company_name,industry,region,plan_type,signup_date,mrr_usd,seats,tenure_months,is_churned,churn_date,nps_score,acquisition_channel,support_tickets_ytd,last_login_days_ago,email_hashed,phone_hashed
CUST0026,QuantumEdge 26,Media,Europe,Free,2023-09-19,0,1,9,True,2025-06-26,24,Paid Search,30,,3043717e8284a4f0db51519a09d34c78e6de4d65106f8dcf2ec2f4eb8d4b10bf,89fb75fd9436b00668667745c9dc19ac12d649dc0af0550fb81b13e652b1b253
CUST0027,GridLogic 30,Logistics,Latin America,Growth,2022-06-26,563,12,24,False,,39,Partner,33,143,4775264707f50ba68e8677fb759118c98b7c6f2fda7c2e6fe3b88db369e2f3b8,c2bfe4e5d969a9c55b36945cfb23e7c0532e46d35404713b203a3b3696b81937
CUST0028,Apex Systems 41,Healthcare,North America,Growth,2022-09-05,588,6,22,False,,-76,Social Media,18,47,b87bc133d26d86c11ae1c62f2a940a87f837eb241a788fe33ff9251b3c1e8298,061c86f87553b2b4e32efd50b4a04a6c80decde37b6beb6210c109525dc907c0
CUST0029,NexGen AI 50,Healthcare,Asia Pacific,Growth,2023-11-19,594,8,7,False,,85,Direct Sales,16,50,d35892ba32a26dd84336d5ed301bb6f853fc975d89a928b0b7799dd33111ae0b,9022bb946d7f4d50897784e4801a7dfb99a9a875286db2c1f1e2b26fb358edf4
CUST0030,PulseWare 32,Education,Europe,Free,2022-02-27,0,1,28,False,,-3,Organic,1,7,17f46259573714efd7486882c55e3c791408237d38e915264b5a1590016b03ed,389fdcd0fc17c4123f635dd06ad340aac2278fd4222bad317038341e9ee614df
CUST0031,PulseWare 11,Logistics,Asia Pacific,Starter,2022-08-05,70,1,23,False,,65,Partner,27,142,4c2da7aaf630a68e77de4e062d7acc1cbd6e31381d8469afea12163491ab419c,5d47b5bfd46841a2766d53cd90439d55d6df89d861c3d0fa1f6a8863b24a1a22
CUST0032,DataSphere 42,Education,North America,Growth,2023-07-27,475,6,11,False,,-38,Referral,19,159,95e1a49886e6b3836979e2f4e193c53188e1c1c2bf3ee2d64e1e999e2a7561f5,c3932e17e43a029d8d6174ecf6b4db316014f968c9c1e2638a72be4033f1d600
CUST0033,Apex Systems 37,Manufacturing,Latin America,Enterprise,2022-08-06,5776,402,23,True,2023-06-30,-81,Partner,20,,b0ab763786c62df6710bf73b1bf00a67c8669930082253cf3b818a4c257c8492,ca97834ef54d425c02b26d116e2de1a7325599cbb64ac77f742e97dc2e628a9e
CUST0034,QuantumEdge 11,Logistics,North America,Free,2022-08-29,0,1,22,True,2024-06-24,-29,Organic,36,,1b7f84956db73bf8ab1d99c699288c2b38d1178123c5cdaa1a6698d03f96eb3b,8042ac7d34079316693369cb0ce8697cea350dbe09cef46d3e58b28a81e8b459
CUST0035,Apex Systems 16,Media,Asia Pacific,Starter,2023-10-12,75,5,8,False,,68,Paid Search,13,170,128f3aa4a889cbff7244889515f68b5c7baebb91b8bd1cb44bbadd3186600f72,e1a9091db62e8edecef8580f12d85f15347dd518df930ab447669ba1ebb973c6
CUST0036,PulseWare 14,Retail,Europe,Enterprise,2022-01-14,2604,386,29,False,,76,Partner,24,161,637c0b06ec04be0822ff3275b8638008da79fae2ef21efad237629e181fb4f2b,6380972d82604f2f4695fd7d708a331fe472f41e72b589779832ac1953aef4f5
CUST0037,NovaTech 5,Logistics,Middle East,Growth,2022-03-21,454,13,27,False,,86,Organic,16,121,704c79ed596873ca07168d71e57026028b1fea4232bb96e25c8c874f17d88d5c,1a7d86eb5b4e24d096e9ba4fd5240da48e6e7cec04a6d339f997a3a7e69929b3
CUST0038,CipherStack 33,Education,Asia Pacific,Growth,2022-05-12,546,14,26,False,,97,Social Media,11,117,bb3b10256a1731dc25140c3eaaea925cfffeb49eb3c1796bc97ea9647b341ad4,894f1a14589702441a335dc2ad3c670a22cc3a656ac9aa12fab9a4b36c005cc4
CUST0039,GridLogic 10,Healthcare,Middle East,Starter,2022-06-02,70,5,25,False,,-42,Partner,9,146,c50978181e0719d4bb00893cee6eff427e66c8cd1b436fc4f89c8b0809742948,db9399378698f1c1b6ab1aa54f632fe36c57ddb4c2acbf65bc4d535af1ec1a6f
CUST0040,Apex Systems 25,Media,North America,Enterprise,2022-12-12,1586,67,18,False,,8,Paid Search,19,49,21f99427b7a148a5d4b78db973f6e63b4bb6a519111f5b2c87893297f67470ad,8270287386d091c1b573c53e3534d88882ed51b9ef47e5d283ba845731a2c2fd
CUST0041,NovaTech 42,Finance,Europe,Growth,2022-05-31,457,7,25,False,,73,Referral,25,85,ff2efeddfbab98fd42f2168207522816cc5fdbd7ec1151ec5994d1e0e6535b36,5b260d6a8323956c80f3b8cfff7befc6862a1e97a04b7047184433b1813922fc
CUST0042,Apex Systems 90,Retail,Middle East,Enterprise,2022-02-13,5428,91,28,False,,-11,Social Media,14,53,efa1974c825caaa5c12547e74f6340ee1d60ae0f483f7b326111fa318b2f065b,e459ed32802d4d345dd7d2b2b5b1e52bfc244bd3ec97e1ead97daee771d73f41
CUST0043,GridLogic 40,Finance,North America,Enterprise,2023-09-12,2840,457,9,False,,42,Direct Sales,37,88,679e1c10f46277008b5a63a61b9d1aee9f3e48a470c0fcb209ac2d84e3d606d7,43023c3c8481ac99209da94ed91862fde379d3151e427c24558ae48dea6254d9
CUST0044,NexGen AI 23,Education,Asia Pacific,Enterprise,2022-05-12,5873,452,26,False,,72,Social Media,6,140,4960a782143f0bd9191cec7fed8de98495436b6c7c333feaac569a3b69e125a0,0e487423dfeaa54e3bd2b190cdb2574515073bcaf69b24cc699723247f974bab
CUST0045,PulseWare 70,Education,Latin America,Growth,2022-02-03,400,20,29,False,,-56,Referral,37,164,ee2c2e26e664b5511ae31aa041a7b89fa219243ea2d518213559c10e11c4b8e9,eafa81bfd6a461da12612aab37f82b3c0697136ba4c65623cbf42be0560e65d3
CUST0046,QuantumEdge 31,Education,North America,Free,2022-09-23,0,1,21,True,2023-03-02,-99,Direct Sales,18,,abb0834f97c5eb4fb6271c9c7498e6073b844ae3851825b8dc3c55fb53a9402b,27c5e017efc62e0f1a1d8a26d8bd7a602488638b52bede5f67318b04556cb9b9
CUST0047,GridLogic 34,Healthcare,Europe,Starter,2023-02-22,57,1,16,False,,69,Partner,33,141,3939f954660b8c4d0b2828923c8e5d344fa3f7447746d3610c7baa33ae188583,dcd709d7c19d3020da23d0059ab4557db4ab003c6a20b180995a1a8a042ccbfd
CUST0048,CipherStack 84,Finance,Latin America,Growth,2022-09-29,495,20,21,False,,-12,Referral,15,129,58d769e4d34f300f017881ed4562570f1179ca68ff62c6802b195f6640c7211a,57b462938fb38f4dffa189fa88cdc6bb18262cf419c996c8cd4363f2088828d9
CUST0049,NovaTech 2,Media,Europe,Enterprise,2022-05-10,4408,45,26,False,,-67,Social Media,0,115,1709a0c92bf9acd57d4760158c009a38b8b220bc48bf41579bb5c1c34b2dc27d,fcef49b8add2cc3455ca401939e51c2e92b30e4ca3947ea857b7ed159b2c657d
CUST0050,PulseWare 24,Healthcare,Middle East,Enterprise,2023-10-21,3274,352,8,False,,55,Partner,18,155,a555b7c966e84f448cb3d2fe6853f5b51ece09c85c06d83290e0bb01b3845bd1,037593f4e6b693e0f9bca0977312ee316a753fe1c6f5a6f9ce7c53e1e21cf89e
CUST0051,CloudPeak 37,Education,Asia Pacific,Growth,2022-02-03,315,20,29,False,,0,Social Media,9,176,5211afe62b4ebbfedccf240ab6444f1c172a9f3c46be77acd4a032c20c7257df,8163b7eac9b50b3bec952b42df80ee7eef1c1f4b7312ba564189e78768a0ac31
CUST0052,DataSphere 62,Media,North America,Growth,2022-12-04,401,10,19,False,,73,Partner,26,66,549ca95547c514bd8d3c31fff512cdd5dab48a6490f63ae1ea2d82b3fe5dde3c,34bf1133c528e5daee5838280b7971e5a0ee26825a35fe58efedf233987a1ea8
CUST0053,Apex Systems 21,Education,Europe,Free,2023-05-06,0,1,14,False,,79,Referral,16,82,0021b5250344bc94dc6d8b38072b6d4e4f62fa766d52ffc2fba30b2b63eb2d26,3afd30aee1853511cb98547a9c36979b8a08eca995a4e1dde746da563f1d99bb
CUST0054,CipherStack 36,Logistics,Latin America,Enterprise,2023-01-03,4568,262,18,False,,-99,Social Media,20,161,0833a943dca1785fdadddfdf39d7a791d6c0ab94e002d19e857942f0297255df,45ec1b4da4a16026ad6559af5f4d3e2e048453a63285ac28b45ca4dda7d38516
CUST0055,CipherStack 28,Education,North America,Starter,2022-12-02,93,5,19,False,,71,Social Media,25,84,fb2e7dce2a21b404396c60fa93ee8e358b38a528d562c97b73b25ad40024b71e,870bafc27a44d4178c55822de2d8d8ec109259dc60f6169994fb6d09eb68989c
CUST0056,ByteForge 92,Manufacturing,Europe,Growth,2023-06-29,409,17,12,True,2024-04-13,60,Referral,5,,ccadbf8e97ae4f4dab6d9ebe21a36943d1957115fab292707844de59023585e0,94f7210c13334587aa2c1b027c7a97f58d5381f0c913e9bb6f84baa632231fa3
CUST0057,CloudPeak 84,Education,Latin America,Free,2022-03-02,0,1,28,True,2023-01-24,12,Direct Sales,27,,612ed42e3c20017cefa521e0dff929befa75e47134ecf57f3191abdd2c5378d2,6e67a30f707f52e3f34a2e7874c0cf5d310199cc874e1b5a2c943e276a60e7a1
CUST0058,CipherStack 24,Manufacturing,Middle East,Starter,2022-10-11,88,2,20,False,,76,Partner,38,152,99173772131f7ea4f2247597c065474877c1f29b3eaa3ad3c3e292a179a8ed2d,ad0c19e5c3804657928c4700dfd8ccf303ecf102b17c8677f38da549ddaefeed
CUST0059,NexGen AI 63,Finance,Latin America,Enterprise,2023-07-03,7881,87,12,False,,-92,Partner,20,15,fcbce8adddb1f0f58284728f36f2f950dd9b6c1938a28129be0be0bfe07382df,ee60866edf561f54bb9965c4998f982632b475416d777cf86542066ae5608edb
CUST0060,ByteForge 18,Healthcare,Asia Pacific,Free,2022-05-10,0,1,26,False,,-100,Organic,22,180,15d9b1d07a410e199aa18b2c3f334ab847787eee500c51b50dcb740b2008130c,5c803d4fa65fc15686b80e18607ef85e50ae048a90d0c3a918ed9a3ccde0bbb2
CUST0061,Apex Systems 24,Manufacturing,Asia Pacific,Starter,2022-02-14,51,2,28,False,,-48,Partner,22,93,279220be5696888d681debd07e423bdf48fe89d27f125be30706b11b950118ed,74a390afe83c65396fff64174669f21b91a98da4afd3cf0f6bcab8789a2398bb
CUST0062,ByteForge 52,Media,Asia Pacific,Starter,2022-12-12,67,5,18,False,,-58,Referral,21,47,04e9f8318e4d7db1640a88b43783c8c97b24faab55b9a2b3427b2eece2b23bc5,4e19c5822139fe1abcbe28667ae3f52967925a57a8d2541b62efb047f259d8de
CUST0063,QuantumEdge 12,Retail,North America,Growth,2022-12-09,544,13,18,False,,20,Organic,27,95,f31ff4fb3813561d1dd3ba1903a7ed8ea8cae40e08bf9e5372b7f049a909751e,a1df82b374d426191e0973b1655350d0ebd97dfba98db253fd07b844b13b002c
CUST0064,CloudPeak 78,Media,Europe,Growth,2022-06-29,486,13,24,False,,-31,Social Media,19,137,1a4aaa198167495f462ec256d3d2eeefb742eda1734e7c3061d1ea87831d7b7d,126df3ecc14e0052898ea380b741aa7d8a4c340e59883709f09f0b27cad32338
CUST0065,ByteForge 7,Media,Europe,Enterprise,2022-03-31,7077,138,27,False,,-12,Direct Sales,16,143,a378b4c8275021d3f8fa2e73e18d85587c59f4f36518a5eab8c35ae49a370be0,207148ae66b295378a6bda397ff4327e5292a22cf47b26fb80a0b4341514082f
CUST0066,QuantumEdge 86,Finance,North America,Free,2022-06-21,0,1,24,False,,27,Paid Search,2,78,ab906d157164b3022984fc337b22ec502e36a91949b26610adfd8cf033cc2edb,836c85082254902b2a928b0e441be5b997321fc96266be690802d3e4c2b94802
CUST0067,ByteForge 8,Healthcare,Asia Pacific,Starter,2023-04-26,52,3,14,False,,48,Partner,7,153,5b5e9c8650dc326af007484536443757948e3957b932bca52c3efa732fae854b,02181fa3126ba94f7e2a898ad08a36af953fbbd38f64a91a03c3ba70b5164e2b
CUST0068,ByteForge 28,Manufacturing,Middle East,Starter,2023-07-28,49,2,11,False,,-8,Partner,17,106,73aa1ced9cfb440030f85765fcf143194c72a8d24ef7b7280cc121515d34d45f,4c36f7b7e55bc94979ed1710f1b90f86b94b5e84353766d42741d58a728c3b00
CUST0069,GridLogic 91,Logistics,North America,Starter,2023-04-03,97,4,15,True,2024-01-11,-13,Paid Search,2,,a788dcd27252c18f3a4160c224c96e4156224202e6ea1326f71b7b56d8b5b410,9c3d6f3d16d632eb1e6b4ff23184bbaead2a78618e8d2adbc642e58f4eac6f90
CUST0070,NovaTech 11,Finance,Asia Pacific,Enterprise,2022-10-06,2213,63,21,False,,-37,Referral,23,44,726feaf01dc538df68ff2657a9bf7d968cd29784407a7ee55a898c6ed0565ac3,ed1564edfd87ae86c2b30b29846406c423a501a3de167b62fbe912a7031b2cb8
CUST0071,DataSphere 85,Media,Asia Pacific,Free,2023-01-30,0,1,17,True,2024-07-17,-18,Direct Sales,2,,63c10853a3bfbf786eef8be8c8c79469575f100d27f841ca5737330696871218,beb7175a072913fe45c9e7fc6b92c9002daad66025c17588dbc62cfa2f99c536
CUST0072,NovaTech 35,Media,Middle East,Starter,2023-11-19,51,2,7,False,,66,Partner,13,31,4f1d2d74e30ce6f48ad4bb7b78b5578a1f6df02b4b9c1f195fddaa886d92fddd,3278c115d9e63f7d683d0c68bc087ab84c9eb645292c58165920573f3663d99f
CUST0073,DataSphere 11,Media,Europe,Enterprise,2022-06-17,3152,326,24,False,,60,Paid Search,33,137,125dc8eabb05a6625ee2ad0f2cd6496b8fe3b4efd388bdcb213945d752b6636b,16fae648b15b716978c3daba1554471d3394eb71f7ac551e484b9d34f8f683ff
CUST0074,CloudPeak 72,Media,Latin America,Enterprise,2023-11-25,6574,250,7,False,,47,Direct Sales,22,122,c848293b9fbc9c4342ddb46616ad634ad6a6a22d23b41ea672e7446a5e174677,a81c2496aceee4782c15df3d81050ba08f10aa2ec12d94620c87b4988768b173
CUST0075,QuantumEdge 54,Media,Asia Pacific,Free,2023-06-09,0,1,12,True,2025-04-15,-40,Organic,18,,0f94998e1077881df777c6bccfe26b8e5136883fe59acdf1db0bdccc1a0b94c8,530288487c8d1606cb966d07714297ce2b5ce7efbf96f4495f2cd528a3ed24d7
CUST0076,CloudPeak 20,Logistics,Latin America,Growth,2022-07-10,325,13,24,False,,92,Referral,36,118,839aee153920b983e1bd96a63f2e2f14a7b4b1f1aeb92d4d1f605bfb02a1b92f,9b2592d4dfcbde26f8dc949a0f74c84ac6817b7f776cfa60c9f330afb89ba4c4
CUST0077,QuantumEdge 14,Logistics,Latin America,Growth,2022-12-18,423,24,18,False,,-29,Social Media,36,32,58fb890ace8181e148beeb0052ec0eec82282584d57da63e9294054d444c73a7,4fbb87b621cd21468892a30da441abcbc4480a558c999c4160cc37da42686f1e
CUST0078,DataSphere 3,Media,Asia Pacific,Growth,2022-10-12,387,21,20,False,,-23,Organic,24,32,50790a07f9261b19cd02b1a7a4fdacda018b00c1baecad31ffa231cdfc3eb6af,c12d37b9998c2a034860ba7d4761080e1b92fe2e150ae995975e1e4e800350b3
CUST0079,NexGen AI 25,Healthcare,North America,Free,2022-10-06,0,1,21,False,,46,Direct Sales,6,123,3c3f481bc407ce860f8f1bdebe0c95080675bfc4ecf5ecd03c300bf4f5a1c686,a3c8f151c8d8d1a38a10d3292d1973440d91ac9f5509e47ff9bc58985e42094e
CUST0080,NovaTech 59,Education,Middle East,Enterprise,2023-09-13,4768,338,9,False,,33,Direct Sales,23,62,ed544d7ccad535e08a6a887212bde465fea56a0da8aad74140096284e154ffc9,4242dc18296b10de3e9a39206d0c4cf60e248cb77b5b411d51665eb14545b379
CUST0081,QuantumEdge 27,Media,Europe,Free,2022-11-28,0,1,19,False,,-59,Direct Sales,30,11,4c81e3cf2d3578d5ee149b4bb2a5689a534975ff1fadafc92e35eb4421fa523d,e82c3d5abd95a6455936ea68daa239a87d7a330aabd43ef9d25ac5dfa920c5b6
CUST0082,QuantumEdge 12,Finance,Latin America,Enterprise,2022-08-12,3591,130,22,False,,84,Paid Search,34,111,bac15ac0928366f4b2e75de4f1e7312f8917a590469f830c75e45029b85992c6,3d01deb40b8a1113b591ef818030f49f5b4fb712b48a53197ed1f51ed8bb204c
CUST0083,GridLogic 10,Finance,Latin America,Enterprise,2022-08-03,2183,143,23,False,,-16,Paid Search,32,74,07d105c58e623eb810b334c2eef29902573671ad080e5498409163ef7f91c724,18f17dfa8b308b8ef913a5cc5adb42633b98b30a5064044921594bad392ba6fc
CUST0084,ByteForge 19,Manufacturing,Latin America,Growth,2022-07-23,520,19,23,False,,87,Partner,16,95,1f0f9ca9bf64e2526608d41d3f991f9976d9d30f0a68884e0be1d13180da421f,951de1589bfe9683de2479ca29ae904bce8faabc64016afbf1a7ed90c1437d75
CUST0085,PulseWare 69,Finance,Europe,Free,2022-12-26,0,1,18,True,2024-08-09,73,Organic,28,,84c2b6fe69f120ed9dc5d6cf0ce153ae0b154a87dcf8e194e8de71e45e347efc,d67bb16993406b95f1096923f421a48dc76c7b81e375cd3f2ada8b6bd038c02b
CUST0086,NexGen AI 50,Logistics,Asia Pacific,Free,2023-05-07,0,1,14,True,2024-08-06,-57,Social Media,4,,aaf1de926281483f94e0c119743a3781599611579d505b2b988ddc578500b0bb,5efadef4f312bf8295a1f432cfd836c9a57d48aeb28d7209d9fe1d4b8c8716ff
CUST0087,NexGen AI 69,Retail,Europe,Starter,2022-02-02,75,2,29,False,,91,Referral,23,31,8e448d3d59f9e876bac90e9c1d93dda7e0eb3ab97c3b64136473744456dd8b05,2c5308256eb73e4d45d03192df581fd81914b2d1ae85ae4610d3503b4b9942bf
CUST0088,QuantumEdge 66,Finance,Middle East,Growth,2023-04-29,488,5,14,False,,73,Social Media,20,128,ba01e4b317042b28db5e06ef09a8f1dc2baf2146ba4d9bb7b8df1a27f2f71218,a4013cfbad0a2db9b4469d759ee7da6a212c11915204184877178440e97e9ee7
CUST0089,ByteForge 86,Retail,Middle East,Free,2023-04-20,0,1,14,True,2024-04-08,62,Partner,36,,fc5e9ffe6c2a730bbc80ae5b4fb88c60bfa947c583728dc8ff980c4f0b96e735,479b4ee51c73558488349a7a4a1ef69feeef26b3123c3b1511312af1882a79a5
CUST0090,NovaTech 61,Education,North America,Starter,2022-02-04,87,2,29,False,,-45,Partner,38,159,63deae453b7739e9d20c73af51b3f9b5911fdc0f5057aa7f08aa4b7a159846d3,dc5787fa08f5492e365d42ff2e45a802e472fc52b77aaa1f51ea39c76102c0a8
CUST0091,Apex Systems 33,Retail,Asia Pacific,Starter,2022-03-01,74,2,28,False,,84,Partner,12,97,aaaa8fb28cce9453121bae6642a324b31e12cf90a5146fc04cba3c61c79e2a5d,61040d61cd86cb70a96f69edf5ada867d41f10c684a12393660bbb8d7f5ca8e6
CUST0092,CloudPeak 41,Finance,North America,Growth,2023-08-04,563,16,11,False,,84,Social Media,8,110,fbf82f9ec5675f59e78cda10c1c70c214afbd56fafe378b39c2f0705b033777b,d583a89cf1e6cd1f3ec5008388a5c8eb0289a8a3566e0d20b758123ebb93992b
CUST0093,ByteForge 99,Logistics,North America,Growth,2022-01-09,521,16,30,False,,99,Referral,36,42,a875434a1ecca7093ce8e54243ed19689f3ac1ec7fb9aa187de702cd80c9a652,31ff9105b9ffdf7b507ef956bf66a5c9d8373b69f38b81cd210bddc146453097
CUST0094,Apex Systems 37,Finance,Middle East,Free,2022-04-21,0,1,26,True,2023-04-12,-35,Organic,39,,f208b1c2bd4eb9918cb30b2440b016fc4627f445943eda49d9c5d301254eef88,abbd4a7677a9273251ad76efeac2343b3d0446d2400d4d80ef14b906ea9823fd
CUST0095,CloudPeak 47,Logistics,North America,Free,2023-06-19,0,1,12,False,,18,Referral,32,66,6abaff20515e2c94e44045bac769758aa18c347e6baff031b3301772f7fc81fa,bd7686e41e31fc6bea25da7279d5915ccc8e2c4bc7bfbc444bd39221d2206645
CUST0096,CipherStack 81,Finance,Middle East,Starter,2022-03-15,86,5,27,False,,64,Organic,10,155,3d2c1597d849a4384fb500bc4e21a8ec4b6247180bd8a9f5fed8bc7b19d99a32,c6aa8aae92b20d88ace5671617b10e2e250d1e6bf42d5314b891e242fdf8c18f
